username, created_at, lng, lat, text
CoachKemp, Fri Jan 22 23:53:44 +0000 2021, -80.345263, 27.300765, @GageBrownFCA @TCoastBaseball Anytime always here for you brother! 💪🙏 
BustDwnLambiana, Fri Jan 22 23:53:44 +0000 2021, -83.376154, 42.223742, Boy don’t complain when I flip the script on you 😉 
DaddySinFLA, Fri Jan 22 23:53:44 +0000 2021, -81.367773, 28.501678, @LexiLewd The prettiest Princess 
GOSU49, Fri Jan 22 23:53:44 +0000 2021, -118.876498, 34.283083, @DonaldJTrumpJr I’m sure it needs the business. 
MartinRanger8, Fri Jan 22 23:53:44 +0000 2021, -121.979527, 37.523645, @DonaldJTrumpJr You should layoff the powder 👀 
DG_Adam_, Fri Jan 22 23:53:44 +0000 2021, -117.881969, 34.087543, SCREAMING 😂 
awesternrescue, Fri Jan 22 23:53:44 +0000 2021, -81.112426, 40.917659, @sarcasmlemons At the moment in wip https://t.co/nYG13mlro8 
FNDungeonMom, Fri Jan 22 23:53:44 +0000 2021, -104.724865, 38.749673, This is also me ... 👀 
RealNeelSheth, Fri Jan 22 23:53:44 +0000 2021, -80.594768, 34.261688, @DonaldJTrumpJr Why, oh why, is it such a common feature of the Trumpers, including the Trumps themselves, not to u… https://t.co/BSJkOKGSzR 
Mirian092020, Fri Jan 22 23:53:44 +0000 2021, -73.412972, 41.568145, @clinaliciaare @DavidSantiagoSV Dios me la bendiga siempre y creame que recuerdo muy bien cuando nos hicimos " cher… https://t.co/cPuRK8H3QU 
2SpooksBrewing, Fri Jan 22 23:53:44 +0000 2021, -82.491500, 27.913500, Sticky sweet and still good - Drinking a Stickee Monkee (2015) by @FirestoneWalker @ Two Spooks Brewery &amp; Swim Club… https://t.co/yPQmMhjgDW 
laughlovelive12, Fri Jan 22 23:53:44 +0000 2021, -74.066663, 40.718001, Dead! 😂😂😂 
mirrorwade, Fri Jan 22 23:53:44 +0000 2021, -87.967292, 43.056722, people in america need to realize just because you can doesn’t mean you should. your travel plans aren’t worth it. 
helplol__, Fri Jan 22 23:53:45 +0000 2021, -71.005360, 42.203364, @depressionne Jenna,Please read the article below.  I hope it explains things (have not read it myself)… https://t.co/po3uJF1I6c 
_KyleRhodes, Fri Jan 22 23:53:45 +0000 2021, -73.977717, 40.705597, Drinks on me tonight https://t.co/n8vy7jguRU 
tschyna10, Fri Jan 22 23:53:45 +0000 2021, -115.135165, 36.060964, Come On Baby Let’s Play https://t.co/VFCebQITZO https://t.co/nlARYNpts4 
ZODIAC_MF, Fri Jan 22 23:53:45 +0000 2021, -83.099288, 42.352787, HIS *INCREDIBLE* SPEECH HAHAHAHA. THEY KEEP SAYING THINGS LIKE THIS! https://t.co/xs5adjVIc7 
Paco85, Fri Jan 22 23:53:45 +0000 2021, -122.630908, 45.536402, #THIS right here...... 😶 
JasmineInfiniti, Fri Jan 22 23:53:45 +0000 2021, -73.948775, 40.655138, @RunnerIsHere Lol 
beezer0830, Fri Jan 22 23:53:46 +0000 2021, -72.993891, 41.229021, @OrdioMongo He was a fool. Had potential..but never got there. Sorry for the loss...back after this. 
